date, Ames, IA, US
2000-12-31,null,266.4093,506.5299
2001-12-31,null,268.2499,504.5185
2002-12-31,null,285.7104,494.3771
2003-12-31,546.6301,277.8745,475.8351
2004-12-31,241.2478,287.8184,463.1556
2005-12-31,186.5636,293.2703,469.0428
2006-12-31,279.7815,285.7397,479.3354
2007-12-31,387.4317,300.1962,471.7739
2008-12-31,313.1278,288.1213,458.6142
2009-12-31,309.5867,282.0946,431.8787
2010-12-31,306.1383,268.5396,404.5023
2011-12-31,300.3003,257.2699,387.0597
2012-12-31,131.5989,265.5901,387.7538
2013-12-31,143.8073,273.0294,369.1334
2014-12-31,119.9731,272.843,361.5539
2015-12-31,152.2141,276.0733,373.7372
2016-12-31,161.3073,292.8899,397.5208
2017-12-31,183.8099,287.5014,394.8597